web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
"1590495780-1234","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=118","Coronavirus is hard on older people — and scientists aren't sure why","https://www.allsides.com/news/2020-03-10-1325/coronavirus-hard-older-people-and-scientists-arent-sure-why","Read full story","https://www.nbcnews.com/science/science-news/coronavirus-hard-older-people-scientists-aren-t-sure-why-n1153701"
"1590497970-1755","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=86","Here’s How to Fight Coronavirus Misinformation","https://www.allsides.com/news/2020-04-14-1659/here-s-how-fight-coronavirus-misinformation","Read full story","https://www.theatlantic.com/ideas/archive/2020/03/heres-how-fight-coronavirus-misinformation/608914/"
"1590497251-1584","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=96","Japanese PM and IOC chief agree to postpone 2020 Olympics","https://www.allsides.com/news/2020-03-24-0626/japanese-pm-and-ioc-chief-agree-postpone-2020-olympics","Read full story","https://www.cnn.com/2020/03/24/sport/olympics-postponement-tokyo-2020-spt-intl/index.html"
"1590495350-1131","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=124","The Trump administration’s mixed messages are sowing coronavirus confusion","https://www.allsides.com/news/2020-02-28-0644/trump-administration-s-mixed-messages-are-sowing-coronavirus-confusion","Read full story","https://www.washingtonpost.com/opinions/global-opinions/the-trump-administrations-mixed-messages-are-sowing-coronavirus-confusion/2020/02/27/a02f0c8c-5975-11ea-ab68-101ecfec2532_story.html"
"1590498875-1927","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=75","Experts and Trump’s advisers doubt White House’s 240,000 coronavirus deaths estimate","https://www.allsides.com/news/2020-04-03-0728/experts-and-trump-s-advisers-doubt-white-house-s-240000-coronavirus-deaths","Read full story","https://www.washingtonpost.com/health/2020/04/02/experts-trumps-advisers-doubt-white-houses-240000-coronavirus-deaths-estimate/"
"1590496028-1289","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=115","U.S. markets dive, trading suspended after Trump’s coronavirus travel ban fails to calm investors","https://www.allsides.com/news/2020-03-12-0832/us-markets-dive-trading-suspended-after-trump-s-coronavirus-travel-ban-fails","Read full story","https://www.washingtonpost.com/business/2020/03/12/markets-live-updates-coronavirus-economy/"
"1590495746-1228","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=119","California's Democrat Governor Praises Trump's Coronavirus Response: 'Every Single Thing He Said They Followed Through on'","https://www.allsides.com/news/2020-03-10-1030/californias-democrat-governor-praises-trumps-coronavirus-response-every-single","Read full story","https://www.newsweek.com/californias-democrat-governor-praises-trumps-coronavirus-response-every-single-thing-he-said-1491294"
"1590503083-2745","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=21","Living in China During the COVID-19 Pandemic is not What you Think","https://www.allsides.com/news/2020-05-07-1302/living-china-during-covid-19-pandemic-not-what-you-think","Read full story","https://www.browngirlmagazine.com/2020/05/living-in-china-during-covid19/"
"1590503679-2925","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=1","Subdued Eid al-Fitr in India, Bangladesh amid coronavirus crisis","https://www.allsides.com/news/2020-05-25-1223/subdued-eid-al-fitr-india-bangladesh-amid-coronavirus-crisis","Read full story","https://www.aljazeera.com/news/2020/05/subdued-eid-al-fitr-india-bangladesh-coronavirus-crisis-200525141747164.html"
"1590497262-1588","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=96","Trump weighs restarting economy despite warnings from U.S. public health officials","https://www.allsides.com/news/2020-03-24-0654/trump-weighs-restarting-economy-despite-warnings-us-public-health-officials","Read full story","https://www.washingtonpost.com/politics/trump-signals-growing-weariness-with-social-distancing-and-other-steps-advocated-by-health-officials/2020/03/23/0920ea0a-6cfc-11ea-a3ec-70d7479d83f0_story.html"
"1590503202-2781","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=17","The Futile Search For A Magic Number That Says It’s Safe To Reopen","https://www.allsides.com/news/2020-05-11-1322/futile-search-magic-number-says-it-s-safe-reopen","Read full story","https://www.huffpost.com/entry/governors-reopening-economies-faulty-statistics-metrics-coronavirus_n_5eb5c4fcc5b6dea39d558c56"
"1590500772-2292","https://www.allsides.com/topics/coronavirus?search=coronavirus&page=50","Small-business loan program ran out of money within minutes, some banks say","https://www.allsides.com/news/2020-04-18-2357/small-business-loan-program-ran-out-money-within-minutes-some-banks-say","Read full story","https://www.nbcnews.com/business/business-news/small-business-loan-program-ran-out-money-within-minutes-some-n1187051"
