web-scraper-order,web-scraper-start-url,title,title-href,link,link-href
1590500864-2309,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=60,"As Gov. J.B. Pritzker says COVID-19 won’t peak in Illinois until mid-May, Mayor Lori Lightfoot predicts statewide stay-at-home order could extend into June",https://www.allsides.com/news/2020-04-21-1321/gov-jb-pritzker-says-covid-19-won-t-peak-illinois-until-mid-may-mayor-lori,Read full story,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-peak-pritzker-20200421-wkf3uakc2bb7ph6iy6okfkyjqa-story.html
1590502389-2616,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=37,Coronavirus: Trump is selling coronavirus coins and other claims fact-checked,https://www.allsides.com/news/2020-05-02-1034/coronavirus-trump-selling-coronavirus-coins-and-other-claims-fact-checked,Read full story,https://www.bbc.com/news/52487960
1590497367-1619,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=112,The U.S. weighs the grim math of death vs. the economy,https://www.allsides.com/news/2020-03-30-0706/us-weighs-grim-math-death-vs-economy,Read full story,https://www.reuters.com/article/us-health-coronavirus-usa-reopen-analysi/the-u-s-weighs-the-grim-math-of-death-vs-the-economy-idUSKBN21H1B4
1590496547-1422,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=126,Cuomo pleads with federal government to supply New York with ventilators,https://www.allsides.com/news/2020-03-24-1000/cuomo-pleads-federal-government-supply-new-york-ventilators,Read full story,https://www.axios.com/andrew-cuomo-coronavirus-ventilators-bfbd9ef5-a03f-4c52-b5c9-48905ba6f2b8.html
1590496184-1329,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=134,"Coronavirus: Young people are not ‘invincible’, WHO warns",https://www.allsides.com/news/2020-03-20-1720/coronavirus-young-people-are-not-invincible-who-warns,Read full story,https://www.bbc.com/news/world-51982495
1590504051-2986,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=12,Is Remote Voting During COVID-19 a Good Idea for Congress?,https://www.allsides.com/news/2020-05-18-0720/remote-voting-during-covid-19-good-idea-congress,null,
1590499689-2071,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=79,What a lockdown means when home is hundreds of miles away,https://www.allsides.com/news/2020-04-14-1106/what-lockdown-means-when-home-hundreds-miles-away,Read full story,https://www.csmonitor.com/World/Asia-South-Central/2020/0413/What-a-lockdown-means-when-home-is-hundreds-of-miles-away
1590495652-1203,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=143,Connect Amid Isolation: Upcoming Events,https://www.allsides.com/news/2020-03-17-1249/connect-amid-isolation-upcoming-events,null,
1590503051-2740,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=28,Trump Falsely Claims COVID-19 Death Projection Assumes ‘No Mitigation’,https://www.allsides.com/news/2020-05-07-0657/trump-falsely-claims-covid-19-death-projection-assumes-no-mitigation,Read full story,https://www.factcheck.org/2020/05/trump-falsely-claims-covid-19-death-projection-assumes-no-mitigation/
1590501353-2408,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=53,Illinois officials say the state is hitting its COVID-19 peak — and that’s actually good news,https://www.allsides.com/news/2020-04-24-1239/illinois-officials-say-state-hitting-its-covid-19-peak-and-s-actually-good-news,Read full story,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-governor-projection-20200424-wd2bk4r4fbajxjsbzwcgdz2fiu-story.html
1590495165-1101,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=151,Coronavirus poses new challenge to Trump's re-election bid,https://www.allsides.com/news/2020-03-13-0612/coronavirus-poses-new-challenge-trumps-re-election-bid,Read full story,https://www.reuters.com/article/us-usa-election/coronavirus-poses-new-challenge-to-trumps-re-election-bid-idUSKBN20Z1D2
1590497163-1559,https://www.allsides.com/topics/coronavirus?search=coronavirus&page=117,Trump signs $2.2T stimulus after swift congressional votes,https://www.allsides.com/news/2020-03-27-1119/house-passes-22t-rescue-package-rushes-it-trump,Read full story,https://apnews.com/2099a53bb8adf2def7ee7329ea322f9d
