web-scraper-order,web-scraper-start-url,link,href
1589876024-643,https://www.foxnews.com/category/politics/foreign-policy,"China 'open, transparent' about coronavirus, US can't 'bully' Beijing, envoy to UK says",https://www.foxnews.com/world/china-open-transparent-about-coronavirus-us-cant-bully-beijing-envoy-to-uk-says
1589876024-586,https://www.foxnews.com/category/politics/foreign-policy,Pompeo warns China after revealing it 'threatened to interfere' with work of US journalists in Hong Kong,https://www.foxnews.com/politics/pompeo-china-warning-hong-kong-american-journalists
1589876024-576,https://www.foxnews.com/category/politics/foreign-policy,Pompeo says he wasn't aware State Department watchdog was investigating him,https://www.foxnews.com/politics/pompeo-wasnt-aware-state-department-watchdog-investigation
1589876024-678,https://www.foxnews.com/category/politics/foreign-policy,Secretary Mike Pompeo: We need answers and transparency from China and for WHO to do its job,https://video.foxnews.com/v/6149449210001/
1589876024-755,https://www.foxnews.com/category/politics/foreign-policy,$300 million of ExxonMobil oil revenue hangs in the balance after contentious election in Guyana remains undecided,https://www.foxnews.com/world/300-million-exxonmobil-oil-revenue-hangs-in-the-balance-contentious-election-guyana-remains-undecided
1589876024-655,https://www.foxnews.com/category/politics/foreign-policy,Israeli UN Ambassador Danon: Palestinians getting coronavirus aid from Israel respond with outrageous claims,https://www.foxnews.com/opinion/palestinians-coronavirus-aid-israel-un-danon
1589876024-773,https://www.foxnews.com/category/politics/foreign-policy,"Iran temporarily releases 54,000 prisoners to try and stop coronavirus from spreading in jails",https://www.foxnews.com/world/iran-releases-prisoners-coronavirus-jails
1589876024-761,https://www.foxnews.com/category/politics/foreign-policy,"Israel seemingly backs off potential quarantine requirement for certain US states, says new steps will apply to 'all countries'",https://www.foxnews.com/politics/israel-seemingly-backs-off-potential-quarantine-requirement-for-certain-u-s-states-says-new-steps-will-apply-to-all-countries
1589876024-756,https://www.foxnews.com/category/politics/foreign-policy,"Afghan government to release 1,500 Taliban prisoners, major step in peace negotiations",https://www.foxnews.com/world/afghan-government-to-release-taliban-prisoners-peace-negotiations
1589876024-585,https://www.foxnews.com/category/politics/foreign-policy,"Fired State Department IG had been looking into whether Pompeo made staffer do personal errands, source says",https://www.foxnews.com/politics/fired-state-department-watchdog-ig-pompeo-errands
1589876024-691,https://www.foxnews.com/category/politics/foreign-policy,Outspoken China critic who called Xi a 'clown'  being investigated by Communist Party's disciplinary arm,https://www.foxnews.com/world/outspoken-china-critic-investigated-by-communist-party-disciplinary-arm
1589876024-744,https://www.foxnews.com/category/politics/foreign-policy,"Trump defends use of phrase 'China virus,' despite demands from China to stop",https://www.foxnews.com/world/trump-defends-use-of-phrase-china-virus-despite-demands-from-china-to-stop
1589876024-718,https://www.foxnews.com/category/politics/foreign-policy,Coronavirus crisis sparks new tensions between US and China,https://video.foxnews.com/v/6144664610001/
1589876024-675,https://www.foxnews.com/category/politics/foreign-policy,Watchdog review finds Pentagon's $10B cloud contract to Microsoft was legal,https://www.foxnews.com/politics/watchdog-review-pentagon-microsoft-cloud-contract-legal
1589876024-646,https://www.foxnews.com/category/politics/foreign-policy,Pillsbury: We need to stop freely handing over US tech to China,https://video.foxnews.com/v/6151665830001/
1589876024-633,https://www.foxnews.com/category/politics/foreign-policy,Trump camp hits Biden over comments about restoring Obama policy toward Cuba,https://www.foxnews.com/politics/trump-biden-comments-about-restoring-obama-policy-toward-cuba
1589876024-639,https://www.foxnews.com/category/politics/foreign-policy,Steve Bannon on holding China accountable for COVID-19: 'This is a fight for freedom',https://video.foxnews.com/v/6152099959001/
1589876024-579,https://www.foxnews.com/category/politics/foreign-policy,Trump fires State Department Inspector General who was investigating Pompeo,https://video.foxnews.com/v/6157511064001/
1589876024-674,https://www.foxnews.com/category/politics/foreign-policy,Pompeo: China's lack of transparency put people around the world at risk,https://video.foxnews.com/v/6149725365001/
1589876024-645,https://www.foxnews.com/category/politics/foreign-policy,China rejects Pompeo's request for access to Wuhan lab,https://www.foxnews.com/world/china-rejects-pompeos-request-for-access-to-wuhan-lab
1589876024-617,https://www.foxnews.com/category/politics/foreign-policy,"Chinese state-run media takes aim at Pompeo, calling him an 'evil' person who 'lies,' speaks 'nonsense' and spits poison",https://www.foxnews.com/world/chinese-state-run-media-mike-pompeo
1589876024-658,https://www.foxnews.com/category/politics/foreign-policy,"During the coronavirus crisis, how is North Korea really handling its 'zero cases'?",https://www.foxnews.com/world/coronavirus-crisis-zero-cases-north-korea-handling-the-pandemic
1589876024-749,https://www.foxnews.com/category/politics/foreign-policy,Michael Pillsbury: American media facing 'understandable intimidation' from Chinese government,https://www.foxnews.com/media/michael-pillsbury-american-media-chinese-intimidation
