web-scraper-order,web-scraper-start-url,link,href
1589875873-516,https://www.foxnews.com/politics,Richard Fowler reacts to Sanders adviser saying many of senator’s voters are unsupportive of Biden,https://video.foxnews.com/v/6157247073001/
1589875873-500,https://www.foxnews.com/politics,Democrats hoping to regain majority in the Senate,https://video.foxnews.com/v/6157298403001/
1589875873-561,https://www.foxnews.com/politics,Ken Starr: Inappropriate and unlawful for judge to appoint outsider to examine Michael Flynn case,https://video.foxnews.com/v/6157116721001/
1589875873-422,https://www.foxnews.com/politics,Grassley asks Trump for 'explanation' on firing of top State Dept. watchdog to ensure it's not for 'political reasons',https://www.foxnews.com/politics/grassley-asks-trump-for-explanation-on-firing-of-state-dept-top-watchdog
1589875873-560,https://www.foxnews.com/politics,"Gov. Mike Parson on reopening Missouri, impact of COVID-19 on jobs and economy",https://video.foxnews.com/v/6157117695001/
1589875873-470,https://www.foxnews.com/politics,Cuomo facing growing criticism for coronavirus nursing home deaths,https://video.foxnews.com/v/6157433132001/
1589875873-454,https://www.foxnews.com/politics,Lawyer appointed by judge in Flynn case asks for oral arguments over DOJ’s motion to dismiss,https://www.foxnews.com/politics/lawyer-appointed-by-judge-in-flynn-case-asks-for-oral-arguments-over-dojs-motion-to-dismiss
1589875873-478,https://www.foxnews.com/politics,Karl Rove: Obama turned commencement speech into 'political drive-by shooting',https://video.foxnews.com/v/6157412135001/
1589875873-521,https://www.foxnews.com/politics,Trump: Unmasking of Flynn is greatest political scam in history of our country,https://video.foxnews.com/v/6157241491001/
1589875873-506,https://www.foxnews.com/politics,De Blasio: NYC needs billions in federal aid or city economy 'won't come back',https://www.foxnews.com/politics/de-blasio-nyc-needs-billions-in-federal-aid-or-city-economy-wont-come-back
1589875873-462,https://www.foxnews.com/politics,"Trump says 'radical left' Democrats, media are his real competition in 2020 race",https://video.foxnews.com/v/6157467759001/
1589875873-426,https://www.foxnews.com/politics,Dems tell Supreme Court of 'ongoing' new impeachment inquiry in effort to obtain Mueller materials,https://www.foxnews.com/politics/dems-cite-ongoing-new-impeachment-inquiry-in-effort-to-obtain-mueller-materials
1589875873-494,https://www.foxnews.com/politics,"Trump blasts ’60 Minutes,’ ‘creep’ HHS whistleblower after broadcast",https://www.foxnews.com/politics/trump-blasts-60-minutes-creep-hhs-whistleblower-after-broadcast
1589875873-457,https://www.foxnews.com/politics,Dem Rep Engel: State Dept IG was fired while investigating Saudi arms deal,https://www.foxnews.com/politics/dem-rep-engel-state-dept-ig-was-fired-while-investigating-saudi-arms-deal
1589875873-488,https://www.foxnews.com/politics,Pete Hegseth reacts to business owners revolting against state lockdown policies,https://video.foxnews.com/v/6157367605001/
1589875873-434,https://www.foxnews.com/politics,Dozens of delegates reportedly worried about risking their health at Democratic National Convention,https://www.foxnews.com/politics/dozens-of-delegates-say-they-worried-about-risking-their-health-by-attending-democratic-national-convention
1589875873-491,https://www.foxnews.com/politics,Katz: Anti-lockdown protests are about a loss of freedom,https://video.foxnews.com/v/6157362356001/
1589875873-475,https://www.foxnews.com/politics,Rep. Biggs on what US can do to hold China accountable for handling of COVID-19 pandemic,https://video.foxnews.com/v/6157422613001/
1589875873-512,https://www.foxnews.com/politics,Biden says accuser changed story,https://video.foxnews.com/v/6157251750001/
1589875873-456,https://www.foxnews.com/politics,Cuomo says ‘nobody’ should be prosecuted over coronavirus deaths amid criticism over nursing home policy,https://www.foxnews.com/politics/cuomo-says-nobody-should-be-prosecuted-over-coronavirus-deaths-amid-pressure-over-nursing-home-policy
1589875873-563,https://www.foxnews.com/politics,Is 302 document the key to exposing plot to take down Gen. Flynn?,https://video.foxnews.com/v/6157102184001/
1589875873-482,https://www.foxnews.com/politics,Whitaker: Handling of Russia probe most likely went beyond bad judgement,https://video.foxnews.com/v/6157388465001/
1589875873-565,https://www.foxnews.com/politics,Nevada Democrat Horsford admits affair with former Reid intern known as ‘Love Jones’,https://www.foxnews.com/politics/nevada-democrat-horsford-admits-affair-with-former-reid-intern-known-as-love-jones
1589875873-484,https://www.foxnews.com/politics,Liberal media does 180 on FBI abuses after bureau goes after Trump team,https://video.foxnews.com/v/6157384660001/
1589875873-523,https://www.foxnews.com/politics,Colorado Gov. Polis pushes back against CDC's coronavirus death counts,https://www.foxnews.com/politics/colorado-gov-pushes-back-against-cdcs-coronavirus-death-counts
1589875873-501,https://www.foxnews.com/politics,Democrats looking to flip Senate in November,https://video.foxnews.com/v/6157299851001/
1589875873-522,https://www.foxnews.com/politics,Rep. Tim Ryan on backing $3T coronavirus relief bill,https://video.foxnews.com/v/6157236907001/
1589875873-446,https://www.foxnews.com/politics,"CT governor postpones reopening of hair salons, barbershops to 'early June' amid coronavirus lockdowns",https://www.foxnews.com/politics/ct-governor-postpones-reopening-of-hair-salons-barbershops-to-early-june-amid-coronavirus
1589875873-431,https://www.foxnews.com/politics,Trump defends Pompeo after firing State Department watchdog: 'They're bothered he was having somebody walk his dog?',https://www.foxnews.com/politics/trump-defends-pompeo-after-firing-state-department-watchdog-theyre-bothered-he-was-having-somebody-walk-his-dog
1589875873-459,https://www.foxnews.com/politics,Obama criticizes Trump administration over coronavirus response,https://video.foxnews.com/v/6157482606001/
1589875873-483,https://www.foxnews.com/politics,Bongino: The lockdown is ending because America says it's ending,https://video.foxnews.com/v/6157385555001/
