web-scraper-order,web-scraper-start-url,link,href
1589872507-794,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Marc Short on impasse over impeachment on Capitol Hill; Rep. Dingell on Trump's comments about her late husband,https://www.foxnews.com/transcript/marc-short-on-impasse-over-impeachment-on-capitol-hill-rep-dingell-on-trumps-comments-about-her-late-husband
1589872507-855,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Sec. Mike Pompeo talks North Korea, the UN and trade",https://www.foxnews.com/transcript/sec-mike-pompeo-talks-north-korea-the-un-and-trade
1589872507-857,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Pence on impact of anonymous NYT op-ed, Woodward's new book",https://www.foxnews.com/transcript/pence-on-impact-of-anonymous-nyt-op-ed-woodwards-new-book
1589872507-805,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Denzel Washington on the club that made him the man he is today,https://www.foxnews.com/transcript/denzel-washington-on-the-club-that-made-him-the-man-he-is-today
1589872507-785,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,HHS Secretary Alex Azar gives coronavirus update on 'Fox News Sunday',https://www.foxnews.com/transcript/hhs-secretary-alex-azar-gives-coronavirus-update-on-fox-news-sunday
1589872507-820,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rep. Doug Collins on growing calls for the House to begin impeachment proceedings against President Trump,https://www.foxnews.com/transcript/rep-doug-collins-on-growing-calls-for-the-house-to-begin-impeachment-proceedings-against-president-trump
1589872507-827,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Sarah Sanders on Trump's threat to send detained migrants to sanctuary cities, release of Mueller report",https://www.foxnews.com/transcript/sarah-sanders-on-trumps-threat-to-send-detained-migrants-to-sanctuary-cities-release-of-mueller-report
1589872507-858,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Sens. Graham, Durbin preview Kavanaugh confirmation hearings",https://www.foxnews.com/transcript/sens-graham-durbin-preview-kavanaugh-confirmation-hearings
1589872507-868,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rep. McCaul on chances Congress can solve immigration crisis,https://www.foxnews.com/transcript/rep-mccaul-on-chances-congress-can-solve-immigration-crisis
1589872507-905,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Gen. H.R. McMaster on President Trump's new Iran strategy,https://www.foxnews.com/transcript/gen-h-r-mcmaster-on-president-trumps-new-iran-strategy
1589872507-907,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Brock Long defends federal response to Hurricane Maria,https://www.foxnews.com/transcript/brock-long-defends-federal-response-to-hurricane-maria
1589872507-917,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Reince Priebus breaks down Trump's trip to the G-20 summit,https://www.foxnews.com/transcript/reince-priebus-breaks-down-trumps-trip-to-the-g-20-summit
1589872507-904,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rod Rosenstein addresses efforts to stop White House leaks,https://www.foxnews.com/transcript/rod-rosenstein-addresses-efforts-to-stop-white-house-leaks
1589872507-826,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Rudy Giuliani, Rep. Adam Schiff on whether the Mueller report completely exonerates President Trump",https://www.foxnews.com/transcript/rudy-giuliani-rep-adam-schiff-on-whether-the-mueller-report-completely-exonerates-president-trump
1589872507-788,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Franco Harris on the state of the NFL,https://www.foxnews.com/transcript/franco-harris-on-the-state-of-the-nfl
1589872507-895,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Marc Short previews President Trump's 2018 agenda,https://www.foxnews.com/transcript/marc-short-previews-president-trumps-2018-agenda
1589872507-894,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,'Fox News Sunday' panel looks ahead to 2018 midterms,https://www.foxnews.com/transcript/fox-news-sunday-panel-looks-ahead-to-2018-midterms
1589872507-922,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Pruitt defends decision to withdraw from Paris climate deal; Al Gore weighs in,https://www.foxnews.com/transcript/pruitt-defends-decision-to-withdraw-from-paris-climate-deal-al-gore-weighs-in
1589872507-873,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Oliver North on NRA's response to Texas school shooting; Sen. Lindsey Graham on status of Trump-Kim summit,https://www.foxnews.com/transcript/oliver-north-on-nras-response-to-texas-school-shooting-sen-lindsey-graham-on-status-of-trump-kim-summit
1589872507-875,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Joe diGenova discusses the Russia investigation; Rep. Thornberry on Trump's efforts to curb nuclear proliferation,https://www.foxnews.com/transcript/joe-digenova-discusses-the-russia-investigation-rep-thornberry-on-trumps-efforts-to-curb-nuclear-proliferation
1589872507-793,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Rep. Steve Scalise on impeachment impasse on Capitol Hill,https://www.foxnews.com/transcript/rep-steve-scalise-on-impeachment-impasse-on-capitol-hill
1589872507-782,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Gov. Gretchen Whitmer on coronavirus pandemic's impact on Michigan,https://www.foxnews.com/transcript/gov-gretchen-whitmer-on-coronavirus-pandemics-impact-on-michigan
1589872507-797,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Defense Secretary Mark Esper on challenges to US national security,https://www.foxnews.com/transcript/defense-secretary-mark-esper-on-challenges-to-us-national-security
1589872507-774,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Economist Mohamed El-Erian on the prospects of an economic rebound from COVID-19 crisis,https://www.foxnews.com/transcript/economist-mohamed-el-erian-on-the-prospects-of-an-economic-rebound-from-covid-19-crisis
1589872507-780,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Surgeon General Jerome Adams on US response to COVID-19 crisis,https://www.foxnews.com/transcript/surgeon-general-jerome-adams-on-us-response-to-covid-19-crisis
1589872507-809,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,One of America's greatest biographers explains why 'Working' gave his readers heartburn,https://www.foxnews.com/transcript/one-of-americas-greatest-biographers-explains-why-working-gave-his-readers-heartburn
1589872507-845,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"Larry Kudlow on China trade tensions, rattled Wall Street; Sen. King on developments in the Mueller probe",https://www.foxnews.com/transcript/larry-kudlow-on-china-trade-tensions-rattled-wall-street-sen-king-on-developments-in-the-mueller-probe
1589872507-838,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Mick Mulvaney on the political fallout from the government shutdown fight,https://www.foxnews.com/transcript/mick-mulvaney-on-the-political-fallout-from-the-government-shutdown-fight
1589872507-896,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Senator-elect Doug Jones talks victory in Alabama,https://www.foxnews.com/transcript/senator-elect-doug-jones-talks-victory-in-alabama
1589872507-862,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,"John Bolton on Maduro 'assassination' attempt, Russian election meddling",https://www.foxnews.com/transcript/john-bolton-on-maduro-assassination-attempt-russian-election-meddling
1589872507-865,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Amb. Jon Huntsman previews the Trump-Putin summit,https://www.foxnews.com/transcript/amb-jon-huntsman-previews-the-trump-putin-summit
1589872507-801,https://www.foxnews.com/category/shows/fox-news-sunday/transcript,Mayor Pete Buttigieg on challenging Democratic presidential frontrunners,https://www.foxnews.com/transcript/mayor-pete-buttigieg-on-challenging-democratic-presidential-frontrunners
